roi,time_s,n_points,mean_abs_delta_w_mm,p95_abs_delta_w_mm,max_abs_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
central_xz_radius_25mm,1.79,971,1.75468574831429e-13,1.7932703932910243e-13,2.0491421059976034e-13,1.7572226250762747e-13,1.8062808193608504e-13,2.0491421059976034e-13,2.5298151124016507e-13,8.082281510723987e-13,2.7798705559689554e-12
central_xz_radius_25mm,1.795,971,1.7268828295759902e-13,1.7607443281164592e-13,2.0144476364780672e-13,1.7280530086457788e-13,1.7715863498413142e-13,2.0144476364780672e-13,2.7809686994011904e-13,8.12747202871833e-13,6.144091457827016e-12
central_xz_radius_25mm,1.8,971,1.58482889673567e-13,1.6111244283134596e-13,1.8409752888803865e-13,1.5845542172975326e-13,1.6176296413483726e-13,1.8409752888803865e-13,2.790744918599139e-13,9.425775715499185e-13,7.376456778729335e-12
central_xz_radius_25mm,1.805,971,1.3136376641459798e-13,1.3400738851920835e-13,1.5981140022436335e-13,1.3139480742427366e-13,1.3444106938820255e-13,1.5981140022436335e-13,3.1594598135808806e-13,1.1365273167029954e-12,6.1777427617926154e-12
central_xz_radius_25mm,1.81,971,8.957720779232349e-14,9.259086553026208e-14,1.1622647289044608e-13,8.976524038330862e-14,9.324138683375338e-14,1.1622647289044608e-13,3.8720162903858195e-13,1.3671979104401544e-12,7.212292985059321e-12
central_xz_radius_25mm,1.815,971,2.897845740688136e-14,3.165870343657673e-14,4.81385764583564e-14,2.933152097736531e-14,3.230922474006803e-14,4.81385764583564e-14,4.683543540408533e-13,1.7794263840187342e-12,7.896119313954841e-12
central_xz_radius_25mm,1.82,971,5.262188084863837e-14,5.4643789493269423e-14,5.637851296924623e-14,5.2135273941564035e-14,5.4643789493269423e-14,5.724587470723463e-14,6.62856105283241e-13,2.6199700187135023e-12,1.151693140855059e-11
central_xz_radius_25mm,1.825,971,1.4672817293760006e-13,1.5005358067199381e-13,1.6393136847980827e-13,1.461203051078358e-13,1.496198998029996e-13,1.6393136847980827e-13,7.464447844587533e-13,2.749175109784119e-12,1.682110450929031e-11
central_xz_radius_25mm,1.83,971,2.398215008546989e-13,2.437286483747414e-13,2.7668839441830073e-13,2.3927817152706607e-13,2.437286483747414e-13,2.7582103268031233e-13,8.597583713737482e-13,3.1211015993903855e-12,1.988155418075621e-11
central_xz_radius_25mm,1.835,971,2.4174983983707014e-13,2.5370330836160804e-13,2.888314587501384e-13,2.4347339748222833e-13,2.5912431922403556e-13,2.8796409701215e-13,8.796456941955905e-13,2.867295734176878e-12,1.763510226737708e-11
